,user_id,song_id,listen_count
1,bz02578vfjqccb2500265djwpsq0010,AZXB0987CFG001,2
2,bz02578vfjqccb2500265djwpsq0011,AZXB0987CFG002,1
3,bz02578vfjqccb2500265djwpsq0012,AZXB0987CFG003,0
4,bz02578vfjqccb2500265djwpsq0013,AZXB0987CFG004,4
5,bz02578vfjqccb2500265djwpsq0014,AZXB0987CFG005,1
6,bz02578vfjqccb2500265djwpsq0015,AZXB0987CFG006,1
7,bz02578vfjqccb2500265djwpsq0016,AZXB0987CFG007,2
8,bz02578vfjqccb2500265djwpsq0017,AZXB0987CFG008,6
9,bz02578vfjqccb2500265djwpsq0018,AZXB0987CFG009,8
10,bz02578vfjqccb2500265djwpsq0019,AZXB0987CFG010,2
11,bz02578vfjqccb2500265djwpsq0020,AZXB0987CFG011,4
12,bz02578vfjqccb2500265djwpsq0021,AZXB0987CFG012,1
13,bz02578vfjqccb2500265djwpsq0022,AZXB0987CFG013,3
14,bz02578vfjqccb2500265djwpsq0023,AZXB0987CFG014,3
15,bz02578vfjqccb2500265djwpsq0024,AZXB0987CFG015,5
16,bz02578vfjqccb2500265djwpsq0025,AZXB0987CFG016,4
17,bz02578vfjqccb2500265djwpsq0026,AZXB0987CFG017,1
18,bz02578vfjqccb2500265djwpsq0027,AZXB0987CFG018,1
19,bz02578vfjqccb2500265djwpsq0028,AZXB0987CFG019,0
20,bz02578vfjqccb2500265djwpsq0029,AZXB0987CFG020,5
21,bz02578vfjqccb2500265djwpsq0030,AZXB0987CFG021,7
22,bz02578vfjqccb2500265djwpsq0031,AZXB0987CFG022,2
23,bz02578vfjqccb2500265djwpsq0032,AZXB0987CFG023,3
24,bz02578vfjqccb2500265djwpsq0033,AZXB0987CFG024,2
25,bz02578vfjqccb2500265djwpsq0034,AZXB0987CFG025,2
26,bz02578vfjqccb2500265djwpsq0035,AZXB0987CFG026,1
27,bz02578vfjqccb2500265djwpsq0036,AZXB0987CFG027,0
28,bz02578vfjqccb2500265djwpsq0037,AZXB0987CFG028,1
29,bz02578vfjqccb2500265djwpsq0038,AZXB0987CFG029,2
30,bz02578vfjqccb2500265djwpsq0039,AZXB0987CFG030,1
31,bz02578vfjqccb2500265djwpsq0040,AZXB0987CFG031,3
32,bz02578vfjqccb2500265djwpsq0041,AZXB0987CFG032,1
33,bz02578vfjqccb2500265djwpsq0042,AZXB0987CFG033,0
34,bz02578vfjqccb2500265djwpsq0043,AZXB0987CFG034,5
35,bz02578vfjqccb2500265djwpsq0044,AZXB0987CFG035,2
36,bz02578vfjqccb2500265djwpsq0045,AZXB0987CFG036,6
37,bz02578vfjqccb2500265djwpsq0046,AZXB0987CFG037,4
38,bz02578vfjqccb2500265djwpsq0047,AZXB0987CFG038,2
39,bz02578vfjqccb2500265djwpsq0048,AZXB0987CFG039,1
40,bz02578vfjqccb2500265djwpsq0049,AZXB0987CFG040,1
41,bz02578vfjqccb2500265djwpsq0036,AZXB0987CFG023,2
42,bz02578vfjqccb2500265djwpsq0026,AZXB0987CFG004,3
43,bz02578vfjqccb2500265djwpsq0019,AZXB0987CFG027,5
44,bz02578vfjqccb2500265djwpsq0017,AZXB0987CFG035,1
45,bz02578vfjqccb2500265djwpsq0011,AZXB0987CFG033,2
46,bz02578vfjqccb2500265djwpsq0015,AZXB0987CFG011,1
47,bz02578vfjqccb2500265djwpsq0021,AZXB0987CFG003,2
48,bz02578vfjqccb2500265djwpsq0030,AZXB0987CFG001,1
49,bz02578vfjqccb2500265djwpsq0045,AZXB0987CFG033,3
50,bz02578vfjqccb2500265djwpsq0034,AZXB0987CFG040,1
51,bz02578vfjqccb2500265djwpsq0044,AZXB0987CFG014,2
52,bz02578vfjqccb2500265djwpsq0041,AZXB0987CFG003,1
53,bz02578vfjqccb2500265djwpsq0037,AZXB0987CFG008,2
54,bz02578vfjqccb2500265djwpsq0041,AZXB0987CFG001,3
55,bz02578vfjqccb2500265djwpsq0031,AZXB0987CFG012,2
56,bz02578vfjqccb2500265djwpsq0019,AZXB0987CFG027,4
57,bz02578vfjqccb2500265djwpsq0039,AZXB0987CFG032,2
58,bz02578vfjqccb2500265djwpsq0013,AZXB0987CFG035,3
59,bz02578vfjqccb2500265djwpsq0043,AZXB0987CFG029,7
60,bz02578vfjqccb2500265djwpsq0040,AZXB0987CFG016,2
61,bz02578vfjqccb2500265djwpsq0041,AZXB0987CFG002,8
62,bz02578vfjqccb2500265djwpsq0045,AZXB0987CFG030,2
63,bz02578vfjqccb2500265djwpsq0041,AZXB0987CFG029,1
64,bz02578vfjqccb2500265djwpsq0033,AZXB0987CFG019,7
65,bz02578vfjqccb2500265djwpsq0038,AZXB0987CFG015,9
66,bz02578vfjqccb2500265djwpsq0029,AZXB0987CFG023,3
67,bz02578vfjqccb2500265djwpsq0026,AZXB0987CFG013,2
68,bz02578vfjqccb2500265djwpsq0028,AZXB0987CFG003,5
69,bz02578vfjqccb2500265djwpsq0022,AZXB0987CFG010,4
70,bz02578vfjqccb2500265djwpsq0023,AZXB0987CFG014,3
71,bz02578vfjqccb2500265djwpsq0010,AZXB0987CFG004,2
72,bz02578vfjqccb2500265djwpsq0011,AZXB0987CFG005,3
73,bz02578vfjqccb2500265djwpsq0013,AZXB0987CFG027,1
74,bz02578vfjqccb2500265djwpsq0020,AZXB0987CFG037,4
75,bz02578vfjqccb2500265djwpsq0033,AZXB0987CFG027,4
76,bz02578vfjqccb2500265djwpsq0016,AZXB0987CFG018,1
77,bz02578vfjqccb2500265djwpsq0012,AZXB0987CFG006,1
78,bz02578vfjqccb2500265djwpsq0015,AZXB0987CFG012,2
79,bz02578vfjqccb2500265djwpsq0049,AZXB0987CFG034,3
80,bz02578vfjqccb2500265djwpsq0050,AZXB0987CFG025,3
81,bz02578vfjqccb2500265djwpsq0018,AZXB0987CFG017,2
82,bz02578vfjqccb2500265djwpsq0032,AZXB0987CFG024,2
83,bz02578vfjqccb2500265djwpsq0041,AZXB0987CFG006,2
84,bz02578vfjqccb2500265djwpsq0044,AZXB0987CFG004,4
85,bz02578vfjqccb2500265djwpsq0026,AZXB0987CFG027,4
86,bz02578vfjqccb2500265djwpsq0014,AZXB0987CFG032,6
87,bz02578vfjqccb2500265djwpsq0015,AZXB0987CFG011,1
88,bz02578vfjqccb2500265djwpsq0016,AZXB0987CFG007,1
89,bz02578vfjqccb2500265djwpsq0012,AZXB0987CFG029,2
90,bz02578vfjqccb2500265djwpsq0013,AZXB0987CFG008,1
91,bz02578vfjqccb2500265djwpsq0010,AZXB0987CFG012,3
92,bz02578vfjqccb2500265djwpsq0014,AZXB0987CFG009,2
93,bz02578vfjqccb2500265djwpsq0012,AZXB0987CFG027,1
94,bz02578vfjqccb2500265djwpsq0018,AZXB0987CFG005,2
95,bz02578vfjqccb2500265djwpsq0019,AZXB0987CFG011,1
96,bz02578vfjqccb2500265djwpsq0045,AZXB0987CFG002,2
97,bz02578vfjqccb2500265djwpsq0031,AZXB0987CFG030,3
98,bz02578vfjqccb2500265djwpsq0032,AZXB0987CFG026,2
99,bz02578vfjqccb2500265djwpsq0017,AZXB0987CFG011,4
100,bz02578vfjqccb2500265djwpsq0012,AZXB0987CFG012,2
